Nama_Negara,id,ranking,kode_negara,konfederasi,poin fifa,status,goal masuk,goal kemasukan,Market_Value
afrika selatan,43883,60,RSA,CAF,1429.728396,"['Lose', 'Win', 'Lose', 'Draw', 'Lose']",6,6,"Rp715,25Mlyr."
albania,43932,64,ALB,UEFA,1388.058361,"['Win', 'Win', 'Lose', 'Lose', 'Lose']",7,6,"Rp1.420,95Mlyr."
algeria,43843,28,ALG,CAF,1564.2567,"['Win', 'Win', 'Lose', 'Win', 'Draw']",11,3,"Rp3.958,67Mlyr."
amerika,43921,16,USA,CONCACAF,1673.126608,"['Win', 'Win', 'Win', 'Lose', 'Lose']",16,5,"Rp6.200,03Mlyr."
arab saudi,43835,61,KSA,AFC,1421.427596,"['Win', 'Lose', 'Draw', 'Lose', 'Lose']",7,4,"Rp480,17Mlyr."
argentina,43922,3,ARG,CONMEBOL,1874.814835,"['Win', 'Win', 'Win', 'Win', 'Win']",14,3,"Rp13.230,90Mlyr."
australia,43976,27,AUS,AFC,1580.674774,"['Lose', 'Lose', 'Lose', 'Win', 'Win']",7,7,"Rp890,37Mlyr."
austria,43934,24,AUT,UEFA,1593.447673,"['Lose', 'Win', 'Draw', 'Win', 'Win']",6,4,"Rp4.578,32Mlyr."
belanda,43960,7,NED,UEFA,1757.874428,"['Win', 'Draw', 'Win', 'Win', 'Draw']",10,1,"Rp13.314,34Mlyr."
belgia,43935,9,BEL,UEFA,1734.714832,"['Win', 'Draw', 'Win', 'Win', 'Draw']",11,9,"Rp9.285,27Mlyr."
bolivia,43923,76,BOL,CONMEBOL,1329.415509,"['Draw', 'Lose', 'Win', 'Win', 'Lose']",7,3,"Rp323,73Mlyr."
bosnia dan herzegovina,44037,65,BIH,UEFA,1385.838723,"['Win', 'Win', 'Draw', 'Draw', 'Draw']",4,5,"Rp2.209,21Mlyr."
brazil,43924,6,BRA,CONMEBOL,1761.16093,"['Lose', 'Win', 'Draw', 'Lose', 'Win']",9,5,"Rp13.531,61Mlyr."
cape verde,43850,69,CPV,CAF,1366.125478,"['Win', 'Draw', 'Draw', 'Lose', 'Draw']",5,4,"Rp779,57Mlyr."
curacao,1895293,82,CUW,CONCACAF,1294.652918,"['Draw', 'Win', 'Draw', 'Lose', 'Lose']",1,14,"Rp493,20Mlyr."
denmark,43941,20,DEN,UEFA,1620.807946,"['Win', 'Draw', 'Lose', 'Win', 'Draw']",9,5,"Rp6.518,12Mlyr."
dr congo,20014,46,COD,CAF,1478.350424,"['Win', 'Draw', 'Win', 'Lose', 'Win']",2,4,"Rp2.666,34Mlyr."
ekuador,43927,23,ECU,CONMEBOL,1594.78386,"['Draw', 'Draw', 'Win', 'Draw', 'Draw']",2,0,"Rp6.374,28Mlyr."
ghana,43860,74,GHA,CAF,1346.311722,"['Win', 'Lose', 'Lose', 'Lose', 'Lose']",3,10,"Rp3.463,73Mlyr."
